,cities,lines,oceans
0,"Phoenix, AZ",False,
1,"Mesa, AZ",False,
2,"Chandler, AZ",False,
3,"Glendale, AZ",False,
4,"Gilbert, AZ",False,
5,"Scottsdale, AZ",False,
6,"Tempe, AZ",False,
7,"Peoria, AZ",False,
8,"Surprise, AZ",False,
9,"Avondale, AZ",False,
10,"Goodyear, AZ",False,
11,"Buckeye, AZ",False,
12,"Sun City, AZ",False,
13,"El Mirage, AZ",False,
14,"Sun City West, AZ",False,
15,"Fountain Hills, AZ",False,
16,"Paradise Valley, AZ",False,
17,"Litchfield Park, AZ",False,
18,"Tolleson, AZ",False,
19,"Wickenburg, AZ",False,
20,"Cave Creek, AZ",False,
21,"New River, AZ",False,
22,"Carefree, AZ",False,
23,"Rio Verde, AZ",False,
24,"Youngtown, AZ",False,
25,"San Diego, CA",True,2017 Pacific L4150
26,"Chula Vista, CA",True,2017 Pacific L4150
27,"Oceanside, CA",True,2017 Pacific L4150
28,"El Cajon, CA",False,
29,"Escondido, CA",False,
30,"Vista, CA",True,2017 Pacific L4150
31,"Carlsbad, CA",True,2017 Pacific L4150
32,"La Mesa, CA",False,
33,"San Marcos, CA",True,2017 Pacific L4150
34,"Spring Valley, CA",False,
35,"Encinitas, CA",True,2017 Pacific L4150
36,"National City, CA",True,2017 Pacific L4150
37,"Santee, CA",False,
38,"Poway, CA",False,
39,"Fallbrook, CA",False,
40,"Lakeside, CA",False,
41,"Ramona, CA",False,
42,"Imperial Beach, CA",True,2017 Pacific L4150
43,"Lemon Grove, CA",True,2017 Pacific L4150
44,"Coronado, CA",True,2017 Pacific L4150
45,"Valley Center, CA",False,
46,"Bonita, CA",True,2017 Pacific L4150
47,"Alpine, CA",False,
48,"Solana Beach, CA",True,2017 Pacific L4150
49,"Jamul, CA",False,
50,"Bonsall, CA",False,
51,"Rancho Santa Fe, CA",True,2017 Pacific L4150
52,"Julian, CA",False,
53,"Pauma Valley, CA",False,
54,"Descanso, CA",False,
55,"Borrego Springs, CA",False,
56,"Hidden Meadows, CA",False,
57,"Santa Ysabel, CA",False,
58,"Campo, CA",False,
59,"Tucson, AZ",False,
60,"Oro Valley, AZ",False,
61,"Catalina Foothills, AZ",False,
62,"Sahuarita, AZ",False,
63,"Green Valley, AZ",False,
64,"Tanque Verde, AZ",False,
65,"Marana, AZ",False,
66,"Flowing Wells, AZ",False,
67,"Tucson Estates, AZ",False,
68,"Tortolita, AZ",False,
69,"South Tucson, AZ",False,
70,"Catalina, AZ",False,
71,"Picture Rocks, AZ",False,
72,"Three Points, AZ",False,
73,"Amado, AZ",False,
74,"Ajo, AZ",False,
75,"Vail, AZ",False,
76,"Corona de Tucson, AZ",False,
77,"Littletown, AZ",False,
78,"Miami, FL",True,1091 Atlantic L4150
79,"Hialeah, FL",True,1091 Atlantic L4150
80,"Miami Gardens, FL",True,1001 Atlantic L4150
81,"Miami Beach, FL",True,1091 Atlantic L4150
82,"Kendall, FL",True,1091 Atlantic L4150
83,"Kendale Lakes, FL",True,1091 Atlantic L4150
84,"Fountainbleau, FL",True,1091 Atlantic L4150
85,"Tamiami, FL",True,1091 Atlantic L4150
86,"The Hammocks, FL",True,1091 Atlantic L4150
87,"North Miami, FL",True,1001 Atlantic L4150
88,"Homestead, FL",True,1091 Atlantic L4150
89,"Doral, FL",True,1091 Atlantic L4150
90,"Coral Gables, FL",True,1091 Atlantic L4150
91,"Country Club, FL",False,
92,"Aventura, FL",True,1001 Atlantic L4150
93,"West Little River, FL",True,1091 Atlantic L4150
94,"South Miami Heights, FL",True,1091 Atlantic L4150
95,"Richmond West, FL",True,1091 Atlantic L4150
96,"Westchester, FL",True,1091 Atlantic L4150
97,"North Miami Beach, FL",True,1001 Atlantic L4150
98,"Golden Glades, FL",True,1001 Atlantic L4150
99,"University Park, FL",False,
100,"Miami Lakes, FL",False,
101,"The Crossings, FL",True,1091 Atlantic L4150
102,"Coral Terrace, FL",True,1091 Atlantic L4150
103,"Princeton, FL",True,1091 Atlantic L4150
104,"Hialeah Gardens, FL",False,
105,"Carol City, FL",True,1001 Atlantic L4150
106,"Leisure City, FL",True,1091 Atlantic L4150
107,"Sunset, FL",True,1091 Atlantic L4150
108,"Three Lakes, FL",True,1091 Atlantic L4150
109,"Pinecrest, FL",True,1091 Atlantic L4150
110,"Ojus, FL",True,1001 Atlantic L4150
111,"Glenvar Heights, FL",True,1091 Atlantic L4150
112,"Palmetto Estates, FL",True,1091 Atlantic L4150
113,"Opa-locka, FL",True,1001 Atlantic L4150
114,"Pinewood, FL",True,1001 Atlantic L4150
115,"Miami Springs, FL",True,1091 Atlantic L4150
116,"Olympia Heights, FL",True,1091 Atlantic L4150
117,"Westwood Lake, FL",True,1091 Atlantic L4150
118,"Key Biscayne, FL",True,717 Atlantic L4150
119,"Brownsville, FL",True,4205 Gulf L4150
120,"Miami Shores, FL",True,1001 Atlantic L4150
121,"Westview, FL",True,1091 Atlantic L4150
122,"West Perrine, FL",True,1091 Atlantic L4150
123,"Country Walk, FL",True,1091 Atlantic L4150
124,"Gladeview, FL",True,1091 Atlantic L4150
125,"Sweetwater, FL",True,1091 Atlantic L4150
126,"Florida City, FL",True,1091 Atlantic L4150
127,"Goulds, FL",True,1091 Atlantic L4150
128,"Richmond Heights, FL",True,1091 Atlantic L4150
129,"South Miami, FL",True,1091 Atlantic L4150
130,"North Bay Village, FL",True,1001 Atlantic L4150
131,"Naranja, FL",True,1091 Atlantic L4150
132,"Surfside, FL",True,1001 Atlantic L4150
133,"Palm Springs North, FL",False,
134,"West Miami, FL",True,1091 Atlantic L4150
135,"Bay Harbor Islands, FL",True,1001 Atlantic L4150
136,"Biscayne Park, FL",True,1001 Atlantic L4150
137,"Virginia Gardens, FL",True,1091 Atlantic L4150
138,"El Portal, FL",True,1001 Atlantic L4150
139,"Fisher Island, FL",True,1091 Atlantic L4150
140,"Honolulu, HI",True,1893 Pacific L4150
141,"Waipahu, HI",True,1893 Pacific L4150
142,"Ewa Beach, HI",True,1893 Pacific L4150
143,"Kailua, HI",True,1856 Pacific L4150
144,"Kaneohe, HI",True,1856 Pacific L4150
145,"Wahiawa, HI",True,1893 Pacific L4150
146,"Aiea, HI",True,1863 Pacific L4150
147,"Waianae, HI",True,1893 Pacific L4150
148,"Pearl City, HI",True,1893 Pacific L4150
149,"Waimanalo, HI",True,1857 Pacific L4150
150,"Waialua, HI",True,1893 Pacific L4150
151,"Haleiwa, HI",True,1893 Pacific L4150
152,"Hauula, HI",True,1876 Pacific L4150
153,"Laie, HI",True,1876 Pacific L4150
154,"Kahuku, HI",True,1876 Pacific L4150
155,"Kaaawa, HI",True,1856 Pacific L4150
156,"Corpus Christi, TX",False,
157,"Bishop, TX",False,
158,"Sandia, TX",False,
159,"Port Aransas, TX",True,4197 Gulf L4150
160,"Riverside, CA",False,
161,"Corona, CA",False,
162,"Moreno Valley, CA",False,
163,"Hemet, CA",False,
164,"Temecula, CA",False,
165,"Murrieta, CA",False,
166,"Perris, CA",False,
167,"Indio, CA",False,
168,"Lake Elsinore, CA",False,
169,"Cathedral City, CA",False,
170,"Menifee, CA",False,
171,"Palm Desert, CA",False,
172,"Desert Hot Springs, CA",False,
173,"Palm Springs, CA",False,
174,"San Jacinto, CA",False,
175,"Beaumont, CA",False,
176,"Rubidoux, CA",False,
177,"Coachella, CA",False,
178,"La Quinta, CA",False,
179,"Banning, CA",False,
180,"Wildomar, CA",False,
181,"Norco, CA",False,
182,"Winchester, CA",False,
183,"Mira Loma, CA",False,
184,"Blythe, CA",False,
185,"Rancho Mirage, CA",False,
186,"Glen Avon, CA",False,
187,"Pedley, CA",False,
188,"Canyon Lake, CA",False,
189,"Calimesa, CA",False,
190,"Thousand Palms, CA",False,
191,"Nuevo, CA",False,
192,"Indian Wells, CA",False,
193,"Highgrove, CA",False,
194,"Sunnyslope, CA",False,
195,"Anza, CA",False,
196,"Home Gardens, CA",False,
197,"Aguanga, CA",False,
198,"Idyllwild, CA",False,
199,"Bakersfield, CA",False,
200,"Delano, CA",False,
201,"Tehachapi, CA",False,
202,"Ridgecrest, CA",False,
203,"Wasco, CA",False,
204,"Oildale, CA",False,
205,"Rosamond, CA",False,
206,"Arvin, CA",False,
207,"Shafter, CA",False,
208,"Taft, CA",False,
209,"Lamont, CA",False,
210,"California City, CA",False,
211,"Rosedale, CA",False,
212,"Lake Isabella, CA",False,
213,"Frazier Park, CA",False,
214,"Boron, CA",False,
215,"Wofford Heights, CA",False,
216,"Inyokern, CA",False,
217,"Kernville, CA",False,
218,"Orlando, FL",False,
219,"Apopka, FL",False,
220,"Pine Hills, FL",False,
221,"Winter Park, FL",False,
222,"Winter Garden, FL",False,
223,"Meadow Woods, FL",False,
224,"Ocoee, FL",False,
225,"Oak Ridge, FL",False,
226,"Windermere, FL",False,
227,"Maitland, FL",False,
228,"Conway, FL",False,
229,"Lockhart, FL",False,
230,"Hunters Creek, FL",False,
231,"Doctor Phillips, FL",False,
232,"Orlovista, FL",False,
233,"Fairview Shores, FL",False,
234,"Pine Castle, FL",False,
235,"Belle Isle, FL",False,
236,"Williamsburg, FL",False,
237,"Wedgefield, FL",False,
238,"Sky Lake, FL",False,
239,"Bithlo, FL",False,
240,"Christmas, FL",False,
241,"Holden Heights, FL",False,
242,"Bay Hill, FL",False,
243,"Eatonville, FL",False,
244,"Southchase, FL",False,
245,"Edgewood, FL",False,
246,"Oakland, FL",False,
247,"Taft, FL",False,
248,"Gotha, FL",False,
249,"Zellwood, FL",False,
250,"Tangelo Park, FL",False,
251,"Saint Petersburg, FL",True,4193 Gulf L4150
252,"Clearwater, FL",True,4255 Gulf L4150
253,"Largo, FL",True,4255 Gulf L4150
254,"Palm Harbor, FL",True,4261 Gulf L4150
255,"Seminole, FL",True,4216 Gulf L4150
256,"Pinellas Park, FL",True,4255 Gulf L4150
257,"Tarpon Springs, FL",True,4261 Gulf L4150
258,"Dunedin, FL",True,4255 Gulf L4150
259,"Oldsmar, FL",True,4255 Gulf L4150
260,"West and East Lealman, FL",True,4255 Gulf L4150
261,"Gulfport, FL",True,4193 Gulf L4150
262,"Saint Pete Beach, FL",True,4193 Gulf L4150
263,"Safety Harbor, FL",True,4255 Gulf L4150
264,"Treasure Island, FL",True,4193 Gulf L4150
265,"South Pasadena, FL",True,4193 Gulf L4150
266,"Madeira Beach, FL",True,4260 Gulf L4150
267,"Belleair, FL",True,4255 Gulf L4150
268,"Indian Rocks Beach, FL",True,4216 Gulf L4150
269,"South Highpoint, FL",True,4255 Gulf L4150
270,"Kenneth City, FL",True,4260 Gulf L4150
271,"Harbor Bluffs, FL",True,4216 Gulf L4150
272,"Bay Pines, FL",True,4260 Gulf L4150
273,"Feather Sound, FL",True,4255 Gulf L4150
274,"Redington Shores, FL",True,4216 Gulf L4150
275,"Tierra Verde, FL",True,4193 Gulf L4150
276,"Belleair Bluffs, FL",True,4216 Gulf L4150
277,"Indian Shores, FL",True,4216 Gulf L4150
278,"Belleair Beach, FL",True,4216 Gulf L4150
279,"Ridgecrest, FL",True,4216 Gulf L4150
280,"North Redington Beach, FL",True,4216 Gulf L4150
281,"Redington Beach, FL",True,4216 Gulf L4150
282,"Pensacola, FL",True,4205 Gulf L4150
283,"Cantonment, FL",False,
284,"Century, FL",False,
285,"Molino, FL",False,
286,"San Bernardino, CA",False,
287,"Fontana, CA",False,
288,"Ontario, CA",False,
289,"Rancho Cucamonga, CA",False,
290,"Victorville, CA",False,
291,"Hesperia, CA",False,
292,"Rialto, CA",False,
293,"Chino, CA",False,
294,"Upland, CA",False,
295,"Redlands, CA",False,
296,"Apple Valley, CA",False,
297,"Chino Hills, CA",False,
298,"Colton, CA",False,
299,"Yucaipa, CA",False,
300,"Highland, CA",False,
301,"Montclair, CA",False,
302,"Barstow, CA",False,
303,"Yucca Valley, CA",False,
304,"Loma Linda, CA",False,
305,"Bloomington, CA",False,
306,"Phelan, CA",False,
307,"Twentynine Palms, CA",False,
308,"Grand Terrace, CA",False,
309,"Big Bear City, CA",False,
310,"Joshua Tree, CA",False,
311,"Mentone, CA",False,
312,"Lucerne Valley, CA",False,
313,"Crestline, CA",False,
314,"Morongo Valley, CA",False,
315,"Lake Arrowhead, CA",False,
316,"Big Bear Lake, CA",False,
317,"Landers, CA",False,
318,"Wrightwood, CA",False,
319,"Running Springs, CA",False,
320,"Cedar Glen, CA",False,
321,"Green Valley Lake, CA",False,
322,"Sugarloaf, CA",False,
323,"Fawnskin, CA",False,
324,"Twin Peaks, CA",False,
325,"Fort Myers, FL",False,
326,"Cape Coral, FL",True,4147 Gulf L4150
327,"Lehigh Acres, FL",False,
328,"Bonita Springs, FL",True,4148 Gulf L4150
329,"North Fort Myers, FL",False,
330,"Estero, FL",True,4148 Gulf L4150
331,"Fort Myers Beach, FL",True,4147 Gulf L4150
332,"Sanibel, FL",True,4147 Gulf L4150
333,"Alva, FL",False,
334,"Saint James City, FL",True,4147 Gulf L4150
335,"Bokeelia, FL",True,4370 Gulf L4150
336,"Boca Grande, FL",True,4370 Gulf L4150
337,"Captiva, FL",True,4147 Gulf L4150
338,"Boca Raton, FL",True,162 Atlantic L4150
339,"Boynton Beach, FL",True,162 Atlantic L4150
340,"West Palm Beach, FL",True,162 Atlantic L4150
341,"Jupiter, FL",True,162 Atlantic L4150
342,"Delray Beach, FL",True,162 Atlantic L4150
343,"Wellington, FL",False,
344,"Palm Beach Gardens, FL",True,162 Atlantic L4150
345,"Lake Worth, FL",True,162 Atlantic L4150
346,"Riviera Beach, FL",True,162 Atlantic L4150
347,"Royal Palm Beach, FL",False,
348,"Palm Springs, FL",True,162 Atlantic L4150
349,"Lake Worth Corridor, FL",True,162 Atlantic L4150
350,"North Palm Beach, FL",True,162 Atlantic L4150
351,"Lantana, FL",True,162 Atlantic L4150
352,"Lake Park, FL",True,162 Atlantic L4150
353,"Palm Beach, FL",True,162 Atlantic L4150
354,"Pahokee, FL",False,
355,"Century Village, FL",True,162 Atlantic L4150
356,"Golden Lakes, FL",True,162 Atlantic L4150
357,"Highland Beach, FL",True,162 Atlantic L4150
358,"Juno Beach, FL",True,162 Atlantic L4150
359,"Lake Belvedere Estates, FL",True,162 Atlantic L4150
360,"Tequesta, FL",True,162 Atlantic L4150
361,"Atlantis, FL",True,162 Atlantic L4150
362,"Hypoluxo, FL",True,162 Atlantic L4150
363,"Lake Clarke Shores, FL",True,162 Atlantic L4150
364,"Ocean Ridge, FL",True,162 Atlantic L4150
365,"Lakeside Green, FL",True,162 Atlantic L4150
366,"Mangonia Park, FL",True,162 Atlantic L4150
367,"Palm Beach Shores, FL",True,162 Atlantic L4150
368,"Gulf Stream, FL",True,162 Atlantic L4150
369,"Cypress Lakes, FL",True,162 Atlantic L4150
370,"Haverhill, FL",True,162 Atlantic L4150
371,"South Palm Beach, FL",True,162 Atlantic L4150
372,"Oxnard, CA",True,1992 Pacific L4150
373,"Simi Valley, CA",False,
374,"Ventura, CA",True,1992 Pacific L4150
375,"Thousand Oaks, CA",True,2027 Pacific L4150
376,"Camarillo, CA",True,1992 Pacific L4150
377,"Santa Paula, CA",False,
378,"Moorpark, CA",False,
379,"Ojai, CA",False,
380,"Port Hueneme, CA",True,1992 Pacific L4150
381,"Westlake Village, CA",True,2027 Pacific L4150
382,"Fillmore, CA",False,
383,"Oak Park, CA",False,
384,"Oak View, CA",True,3109 Pacific L4150
385,"Somis, CA",False,
386,"Maricopa, CA",False,
387,"Bradenton, FL",True,4237 Gulf L4150
388,"Palmetto, FL",True,4255 Gulf L4150
389,"Parrish, FL",True,4255 Gulf L4150
390,"Ellenton, FL",True,4255 Gulf L4150
391,"Myakka City, FL",False,
392,"Holmes Beach, FL",True,4127 Gulf L4150
393,"Whitfield, FL",True,4127 Gulf L4150
394,"Bradenton Beach, FL",True,4127 Gulf L4150
395,"Anna Maria, FL",True,4193 Gulf L4150
396,"Cortez, FL",True,4127 Gulf L4150
397,"Santa Rosa, CA",False,
398,"Petaluma, CA",False,
399,"Sonoma, CA",False,
400,"Rohnert Park, CA",False,
401,"Sebastopol, CA",False,
402,"Windsor, CA",False,
403,"Healdsburg, CA",False,
404,"Cotati, CA",False,
405,"Cloverdale, CA",False,
406,"Guerneville, CA",True,1991 Pacific L4150
407,"Glen Ellen, CA",False,
408,"Forestville, CA",False,
409,"Penngrove, CA",False,
410,"Occidental, CA",True,1990 Pacific L4150
411,"Kenwood, CA",False,
412,"Monte Rio, CA",True,1991 Pacific L4150
413,"Geyserville, CA",False,
414,"Cazadero, CA",True,1991 Pacific L4150
415,"Bodega Bay, CA",True,1990 Pacific L4150
416,"Annapolis, CA",True,2882 Pacific L4150
417,"Reno, NV",False,
418,"Sparks, NV",False,
419,"Sun Valley, NV",False,
420,"Incline Village, NV",False,
421,"Cold Springs, NV",False,
422,"Ocala, FL",False,
423,"Dunnellon, FL",False,
424,"Summerfield, FL",False,
425,"Belleview, FL",False,
426,"Weirsdale, FL",False,
427,"Silver Springs, FL",False,
428,"Ocklawaha, FL",False,
429,"Anthony, FL",False,
430,"Salinas, CA",True,2015 Pacific L4150
431,"Monterey, CA",True,3223 Pacific L4150
432,"Seaside, CA",True,3223 Pacific L4150
433,"Soledad, CA",False,
434,"Marina, CA",True,2015 Pacific L4150
435,"Greenfield, CA",False,
436,"Pacific Grove, CA",True,3223 Pacific L4150
437,"Del Monte Forest, CA",True,3223 Pacific L4150
438,"Carmel Valley, CA",False,
439,"Gonzales, CA",False,
440,"Aromas, CA",True,2015 Pacific L4150
441,"Del Rey Oaks, CA",True,3223 Pacific L4150
442,"Fort Collins, CO",False,
443,"Loveland, CO",False,
444,"Berthoud, CO",False,
445,"Estes Park, CO",False,
446,"Wellington, CO",False,
447,"Bellvue, CO",False,
448,"Laporte, CO",False,
449,"Livermore, CO",False,
450,"Drake, CO",False,
451,"Red Feather Lakes, CO",False,
452,"Fort Lauderdale, FL",True,1001 Atlantic L4150
453,"Pembroke Pines, FL",True,1001 Atlantic L4150
454,"Hollywood, FL",True,1001 Atlantic L4150
455,"Miramar, FL",True,1001 Atlantic L4150
456,"Coral Springs, FL",False,
457,"Pompano Beach, FL",True,162 Atlantic L4150
458,"Davie, FL",True,1001 Atlantic L4150
459,"Plantation, FL",True,1001 Atlantic L4150
460,"Sunrise, FL",True,1001 Atlantic L4150
461,"Lauderhill, FL",True,1001 Atlantic L4150
462,"Weston, FL",False,
463,"Tamarac, FL",True,1001 Atlantic L4150
464,"Deerfield Beach, FL",True,162 Atlantic L4150
465,"Margate, FL",True,162 Atlantic L4150
466,"Coconut Creek, FL",True,162 Atlantic L4150
467,"Oakland Park, FL",True,1001 Atlantic L4150
468,"North Lauderdale, FL",True,1001 Atlantic L4150
469,"Lauderdale Lakes, FL",True,1001 Atlantic L4150
470,"Cooper City, FL",False,
471,"Dania Beach, FL",True,1001 Atlantic L4150
472,"West Park, FL",False,
473,"Parkland, FL",False,
474,"Southwest Ranches, FL",False,
475,"Wilton Manors, FL",True,1001 Atlantic L4150
476,"Lighthouse Point, FL",True,162 Atlantic L4150
477,"Broadview Park, FL",True,1001 Atlantic L4150
478,"Lauderdale-by-the-Sea, FL",True,162 Atlantic L4150
479,"Washington Park, FL",True,1001 Atlantic L4150
480,"Hillsboro Beach, FL",True,162 Atlantic L4150
481,"Yuma, AZ",False,
482,"Somerton, AZ",False,
483,"San Luis, AZ",False,
484,"Wellton, AZ",False,
485,"Visalia, CA",False,
486,"Porterville, CA",False,
487,"Tulare, CA",False,
488,"Dinuba, CA",False,
489,"Lindsay, CA",False,
490,"Exeter, CA",False,
491,"Orosi, CA",False,
492,"Woodlake, CA",False,
493,"Farmersville, CA",False,
494,"Strathmore, CA",False,
495,"Terra Bella, CA",False,
496,"Pixley, CA",False,
497,"Earlimart, CA",False,
498,"Ivanhoe, CA",False,
499,"Tipton, CA",False,
500,"Springville, CA",False,
501,"Three Rivers, CA",False,
502,"Charleston, SC",True,1055 Atlantic L4150
503,"North Charleston, SC",True,1055 Atlantic L4150
504,"Mount Pleasant, SC",True,1055 Atlantic L4150
505,"Isle of Palms, SC",True,1055 Atlantic L4150
506,"Hollywood, SC",False,
507,"Ravenel, SC",False,
508,"Awendaw, SC",True,190 Atlantic L4150
509,"Kiawah Island, SC",True,1055 Atlantic L4150
510,"Sullivans Island, SC",True,1055 Atlantic L4150
511,"Seabrook Island, SC",True,1055 Atlantic L4150
512,"Folly Beach, SC",True,1055 Atlantic L4150
513,"Meggett, SC",False,
514,"Wadmalaw Island, SC",True,1055 Atlantic L4150
515,"Bridgeport, CT",True,1058 Atlantic L4150
516,"Stamford, CT",True,1087 Atlantic L4150
517,"Norwalk, CT",True,1018 Atlantic L4150
518,"Danbury, CT",False,
519,"Greenwich, CT",True,921 Atlantic L4150
520,"Fairfield, CT",True,1058 Atlantic L4150
521,"Stratford, CT",True,1058 Atlantic L4150
522,"Shelton, CT",True,1058 Atlantic L4150
523,"Trumbull, CT",True,1058 Atlantic L4150
524,"Westport, CT",True,1018 Atlantic L4150
525,"New Canaan, CT",True,1018 Atlantic L4150
526,"Monroe, CT",False,
527,"Darien, CT",True,1087 Atlantic L4150
528,"Wilton, CT",True,1018 Atlantic L4150
529,"Brookfield, CT",False,
530,"New Fairfield, CT",False,
531,"Weston, CT",True,1018 Atlantic L4150
532,"Sandy Hook, CT",False,
533,"Easton, CT",True,1018 Atlantic L4150
534,"Redding, CT",False,
535,"Sherman, CT",False,
536,"Eugene, OR",False,
537,"Springfield, OR",False,
538,"Cottage Grove, OR",False,
539,"Junction City, OR",False,
540,"Creswell, OR",False,
541,"Florence, OR",True,3392 Pacific L4150
542,"Veneta, OR",False,
543,"Oakridge, OR",False,
544,"Santa Maria, CA",False,
545,"Santa Barbara, CA",True,2031 Pacific L4150
546,"Lompoc, CA",True,2457 Pacific L4150
547,"Goleta, CA",True,2031 Pacific L4150
548,"Carpinteria, CA",True,3109 Pacific L4150
549,"Solvang, CA",True,2031 Pacific L4150
550,"Guadalupe, CA",True,2215 Pacific L4150
551,"Montecito, CA",True,1992 Pacific L4150
552,"Santa Ynez, CA",False,
